misikeke	ミシケケ	薬、医療			
mije	ミイェ	男、夫 ⇔ meli			
mu	ム				【感動詞】（動物の鳴き声を表す）
musi	ムシ	遊び、ゲーム、芸術作品	楽しむ	楽しい、愉快な、芸術的な	
mute	ムテ	量	増やす、多くする	多い、たくさんの ⇔ lili	
mulapisu	ムラピス	ピザ			
mun	ムン	月、星			
meso(*)	メソ			中ぐらいの、普通の	
meli	メリ	女、妻 ⇔ mije			
moku	モク	食事、食べ物	食べる、飲む		
moli	モリ	死	殺す	死んだ	
monsi	モンシ	後ろ；背中、おしり ⇔ sinpin			
monsuta	モンスタ	怪物；恐怖	怖がらせる	怖い	
jaki	ヤキ	汚れ、ゴミ	汚くする、汚す	汚い、穢れた	
jasima	ヤシマ	鏡、ディスプレイ	反射する、反響する、映す、逆の		
jan	ヤン	人、誰か			
jelo	イェロ			黄色い ⇔ laso, loje	
jo	ヨ		持つ、含む、所有する		
la	ラ				【小辞】(条件節と主文の間におく)
laso	ラソ			青い、緑の ⇔ jelo, loje	
lanpan	ランパン		取る、盗る、手に入れる		
lape	ラペ	眠り	眠らせる	眠っている	
lawa	ラワ	頭、考え	率いる、管理する、操作する		
li	リ				【小辞】（主語と述語の間におく；同じ主語に対して別の述語を並立する）
lipu	リプ	薄っぺらい物；紙、本、ページ、ウェブサイト			
lili	リリ		小さくする、短くする	小さい、短い ⇔ suli、 少ない ⇔ mute	
linja	リンヤ	長くて柔軟なもの；紐、糸、毛、線			
luka	ルカ	手、腕	触る		【数詞】5つの
lukin	ルキン	視界、景色	見る、見える	視覚的に	【助動詞】（し）てみる
lupa	ルパ	穴；出入口、ドア、窓			
leko	レコ	四角、ブロック、多面体			
lete	レテ	寒さ	寒くする、冷たくする	寒い、冷たい ⇔ seli	
len	レン	衣服、布	隠す	隠された、服を着た	
loje	ロイェ	赤	赤くする	赤い ⇔ jelo, laso	
lon	ロン	事実、真実	存在させる	存在している、本当の	【前置詞】（～）で、（～）にいて、（～）において
waso	ワソ	鳥			
walo	ワロ	白	白くする、明るくする	白い、明るい ⇔ pimeja	
wawa	ワワ	力、強さ	強くする	強い ⇔ lili	
wan	ワン	一	一つにする		【数詞】1つの
wile	ウィレ	欲求、願望、必要	欲しい、願う、必要とする		【助動詞】〜したい、〜になりたい、〜する必要がある、〜しなければならない
weka	ウェカ	遠いところ	離す、除く	なくなった、遠くの ⇔ poka	
